var-posibles_valores,var_alias-posibles_valores_alias
primera_rel_sex_evita_enf_1-Nada.,a0803a-14
primera_rel_sex_evita_enf_1-Otro (especifique).,a0803a-77
primera_rel_sex_evita_enf_1-No recuerda.,a0803a-88
primera_rel_sex_evita_enf_1-NS/NR.,a0803a-99
primera_rel_sex_evita_enf_2-Condón o preservativo masculino.,a0803b-1
primera_rel_sex_evita_enf_2-Condón femenino.,a0803b-2
primera_rel_sex_evita_enf_2-Pastillas de anticoncepción de emergencia o del día siguient,a0803b-3
primera_rel_sex_evita_enf_2-Pastillas o píldoras.,a0803b-4
primera_rel_sex_evita_enf_2-Inyecciones.,a0803b-5
primera_rel_sex_evita_enf_2-Parche anticonceptivo.,a0803b-6
"primera_rel_sex_evita_enf_2-Dispositivo, DIU o aparato.",a0803b-7
"primera_rel_sex_evita_enf_2-Implantes, tubos o norplant.",a0803b-8
"primera_rel_sex_evita_enf_2-Óvulos, jaleas, espuma o diafragma.",a0803b-9
"primera_rel_sex_evita_enf_2-Ritmo, calendario, termómetro, Billings.",a0803b-10
primera_rel_sex_evita_enf_2-Retiro o coito interrumpido.,a0803b-11
primera_rel_sex_evita_enf_2-Nada.,a0803b-14
primera_rel_sex_evita_enf_2-Otro (especifique).,a0803b-77
primera_rel_sex_evita_enf_2-No recuerda.,a0803b-88
primera_rel_sex_evita_enf_2-NS/NR.,a0803b-99
ultima_rel_sex_evita_enf_1-Condón o preservativo masculino.,a0804a-1
ultima_rel_sex_evita_enf_1-Condón femenino.,a0804a-2
ultima_rel_sex_evita_enf_1-Pastillas de anticoncepción de emergencia o del día siguient,a0804a-3
ultima_rel_sex_evita_enf_1-Pastillas o píldoras.,a0804a-4
ultima_rel_sex_evita_enf_1-Inyecciones.,a0804a-5
ultima_rel_sex_evita_enf_1-Parche anticonceptivo.,a0804a-6
"ultima_rel_sex_evita_enf_1-Dispositivo, DIU o aparato.",a0804a-7
"ultima_rel_sex_evita_enf_1-Implantes, tubos o norplant.",a0804a-8
"ultima_rel_sex_evita_enf_1-Óvulos, jaleas, espuma o diafragma.",a0804a-9
"ultima_rel_sex_evita_enf_1-Operación femenina, OTB o ligadura de trompas",a0804a-10
ultima_rel_sex_evita_enf_1-Operación masculina o vasectomía.,a0804a-11
"ultima_rel_sex_evita_enf_1-Ritmo, calendario, abstinencia periódica, termómetro, billin",a0804a-12
ultima_rel_sex_evita_enf_1-Retiro o coito interrumpido.,a0804a-13
ultima_rel_sex_evita_enf_1-Nada.,a0804a-14
ultima_rel_sex_evita_enf_1-Otro (especifique).,a0804a-77
ultima_rel_sex_evita_enf_1-No recuerda.,a0804a-88
ultima_rel_sex_evita_enf_1-NS/NR.,a0804a-99
ultima_rel_sex_evita_enf_2-Condón o preservativo masculino.,a0804b-1
ultima_rel_sex_evita_enf_2-Condón femenino.,a0804b-2
ultima_rel_sex_evita_enf_2-Pastillas de anticoncepción de emergencia o del día siguient,a0804b-3
ultima_rel_sex_evita_enf_2-Pastillas o píldoras.,a0804b-4
ultima_rel_sex_evita_enf_2-Inyecciones.,a0804b-5
ultima_rel_sex_evita_enf_2-Parche anticonceptivo.,a0804b-6
"ultima_rel_sex_evita_enf_2-Dispositivo, DIU o aparato.",a0804b-7
"ultima_rel_sex_evita_enf_2-Implantes, tubos o norplant.",a0804b-8
"ultima_rel_sex_evita_enf_2-Óvulos, jaleas, espuma o diafragma.",a0804b-9
"ultima_rel_sex_evita_enf_2-Operación femenina, OTB o ligadura de trompas",a0804b-10
ultima_rel_sex_evita_enf_2-Operación masculina o vasectomía.,a0804b-11
"ultima_rel_sex_evita_enf_2-Ritmo, calendario, abstinencia periódica, termómetro, billin",a0804b-12
ultima_rel_sex_evita_enf_2-Retiro o coito interrumpido.,a0804b-13
ultima_rel_sex_evita_enf_2-Nada.,a0804b-14
ultima_rel_sex_evita_enf_2-Otro (especifique).,a0804b-77
ultima_rel_sex_evita_enf_2-No recuerda.,a0804b-88
ultima_rel_sex_evita_enf_2-NS/NR.,a0804b-99
usanron_condon_masculino-Sí.,a0805-1
usanron_condon_masculino-No.,a0805-2
usanron_condon_masculino-NS/NR.,a0805-9
algun_embarazo-Si.,a0807-1
algun_embarazo-No.,a0807-2
algun_embarazo-No responde.,a0807-9
actualmente_embarazada-Sí.,a0808-1
actualmente_embarazada-No.,a0808-2
actualmente_embarazada-No sabe.,a0808-8
actualmente_embarazada-No responde.,a0808-9
durante_embarazo_midieron-Sí.,a0815a-1
durante_embarazo_midieron-No.,a0815a-2
durante_embarazo_midieron-NS/NR.,a0815a-9
durante_embarazo_pesaron-Sí.,a0815b-1
durante_embarazo_pesaron-No.,a0815b-2
durante_embarazo_pesaron-NS/NR.,a0815b-9
durante_embarazo_midieron_presion-Sí.,a0815c-1
durante_embarazo_midieron_presion-No.,a0815c-2
durante_embarazo_midieron_presion-NS/NR.,a0815c-9
durante_embarazo_examen_orina-Sí.,a0815d-1
durante_embarazo_examen_orina-No.,a0815d-2
durante_embarazo_examen_orina-NS/NR.,a0815d-9
durante_embarazo_quimica_sanguinea-Sí.,a0815e-1
durante_embarazo_quimica_sanguinea-No.,a0815e-2
durante_embarazo_quimica_sanguinea-NS/NR.,a0815e-9
durante_embarazo_midieron_azucar-Sí.,a0815f-1
durante_embarazo_midieron_azucar-No.,a0815f-2
durante_embarazo_midieron_azucar-NS/NR.,a0815f-9
durante_embarazo_prueba_vrdl-Sí.,a0815g-1
durante_embarazo_prueba_vrdl-No.,a0815g-2
durante_embarazo_prueba_vrdl-NS/NR.,a0815g-9
durante_embarazo_prueba_vih-Sí.,a0815h-1
durante_embarazo_prueba_vih-No.,a0815h-2
durante_embarazo_prueba_vih-NS/NR.,a0815h-9
durante_embarazo_ultrasonido-Sí.,a0815i-1
durante_embarazo_ultrasonido-No.,a0815i-2
durante_embarazo_ultrasonido-NS/NR.,a0815i-9
durante_embarazo_vacunacion_tetanos-Sí.,a0815j-1
durante_embarazo_vacunacion_tetanos-No.,a0815j-2
durante_embarazo_vacunacion_tetanos-NS/NR.,a0815j-9
durante_embarazo_acido_folico-Sí.,a0815k-1
durante_embarazo_acido_folico-No.,a0815k-2
durante_embarazo_acido_folico-NS/NR.,a0815k-9
durante_embarazo_sup_alimenticio-Sí.,a0815l-1
durante_embarazo_sup_alimenticio-No.,a0815l-2
durante_embarazo_sup_alimenticio-NS/NR.,a0815l-9
durante_embarazo_salud_mental-Sí.,a0815m-1
durante_embarazo_salud_mental-No.,a0815m-2
durante_embarazo_salud_mental-NS/NR.,a0815m-9
durante_embarazo_anticonceptivo-Sí.,a0815n-1
durante_embarazo_anticonceptivo-No.,a0815n-2
durante_embarazo_anticonceptivo-NS/NR.,a0815n-9
durante_embarazo_leche_materna-Sí.,a0815o-1
durante_embarazo_leche_materna-No.,a0815o-2
durante_embarazo_leche_materna-NS/NR.,a0815o-9
durante_embarazo_midieron_panza-Sí.,a0815p-1
durante_embarazo_midieron_panza-No.,a0815p-2
durante_embarazo_midieron_panza-NS/NR.,a0815p-9
atencion_ultimo_parto-Instituto Mexicano del Seguro Social (IMSS).,a0816-1
atencion_ultimo_parto-ISSSTE/ISSSTE Estatal.,a0816-2
atencion_ultimo_parto-PEMEX.,a0816-3
atencion_ultimo_parto-Defensa.,a0816-4
atencion_ultimo_parto-Marina.,a0816-5
atencion_ultimo_parto-Centro de Salud u Hospital de la SSA.,a0816-6
atencion_ultimo_parto-IMSS Bienestar (antes Oportunidades).,a0816-7
"atencion_ultimo_parto-DIF federal, estatal o municipal.",a0816-8
atencion_ultimo_parto-Cruz Roja/Cruz Verde.,a0816-9
atencion_ultimo_parto-Instituto Nacional de Salud.,a0816-10
atencion_ultimo_parto-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,a0816-11
atencion_ultimo_parto-Consultorios pertenecientes a farmacias/Farmacias con consul,a0816-12
atencion_ultimo_parto-Consultorio dentro de hospital privado.,a0816-13
atencion_ultimo_parto-Área de urgencias/hospitalización dentro de hospital privado,a0816-14
atencion_ultimo_parto-Atención privada en torre de consultorios médicos o en una c,a0816-15
atencion_ultimo_parto-Consultorio en domicilio particular de médico privado.,a0816-16
atencion_ultimo_parto-Atención privada en mi domicilio.,a0816-17
"atencion_ultimo_parto-Atención privada vía remota (teléfono, mensajes de texto, te",a0816-18
atencion_ultimo_parto-Médico laboral (médico de la empresa).,a0816-19
"atencion_ultimo_parto-Curandero, hierbero, naturista.",a0816-20
"atencion_ultimo_parto-Homeópata, acupunturista.",a0816-21
atencion_ultimo_parto-Casa de la partera.,a0816-22
atencion_ultimo_parto-Casa de la entrevistada.,a0816-23
atencion_ultimo_parto-Otro (especifique).,a0816-24
atencion_ultimo_parto-No sabe / No recuerda.,a0816-25
atencion_ultimo_parto-No responde.,a0816-26
atencion_ultimo_parto-Ninguna.,a0816-27
ultimo_parto-normal (vaginal)?,a0817-1
ultimo_parto-cesárea por urgencias?,a0817-2
ultimo_parto-cesárea programada?,a0817-3
ultimo_parto-NS/NR.,a0817-9
ultimo_hijo_piel_c_piel-Sí.,a0818-1
ultimo_hijo_piel_c_piel-No.,a0818-2
ultimo_hijo_piel_c_piel-No recuerda.,a0818-8
ultimo_hijo_piel_c_piel-NS/NR.,a0818-9
ultimo_hijo_peso_nacer_inf-De la cartilla del niño o de otro documento.,a0819f-1
"ultimo_hijo_peso_nacer_inf-Del recuerdo de su mamá, cuidadora o informante.",a0819f-2
ultimo_hijo_peso_nacer_inf-NS/NR.,a0819f-9
ultimo_hijo_amamanto_periodo-Días.,a0820p-1
ultimo_hijo_amamanto_periodo-Meses.,a0820p-2
ultimo_hijo_amamanto_periodo-Aún le da pecho.,a0820p-7
ultimo_hijo_amamanto_periodo-No recuerda.,a0820p-8
ultimo_hijo_amamanto_periodo-NS/NR.,a0820p-9
pos_parto_hemorragia-Si.,a0821a-1
pos_parto_hemorragia-No.,a0821a-2
pos_parto_hemorragia-NS/NR.,a0821a-9
pos_parto_presion_alta-Si.,a0821b-1
pos_parto_presion_alta-No.,a0821b-2
pos_parto_presion_alta-NS/NR.,a0821b-9
pos_parto_infecciones-Si.,a0821c-1
pos_parto_infecciones-No.,a0821c-2
pos_parto_infecciones-NS/NR.,a0821c-9
pos_parto_coagulos-Si.,a0821d-1
pos_parto_coagulos-No.,a0821d-2
pos_parto_coagulos-NS/NR.,a0821d-9
pos_parto_nutricion-Si.,a0821e-1
pos_parto_nutricion-No.,a0821e-2
pos_parto_nutricion-NS/NR.,a0821e-9
pos_parto_inf_lactancia-Si.,a0821f-1
pos_parto_inf_lactancia-No.,a0821f-2
pos_parto_inf_lactancia-NS/NR.,a0821f-9
pos_parto_higiene_manos-Si.,a0821g-1
pos_parto_higiene_manos-No.,a0821g-2
pos_parto_higiene_manos-NS/NR.,a0821g-9
pos_parto_anticoncepcion-Si.,a0821h-1
pos_parto_anticoncepcion-No.,a0821h-2
pos_parto_anticoncepcion-NS/NR.,a0821h-9
pos_parto_depresion-Si.,a0821i-1
pos_parto_depresion-No.,a0821i-2
pos_parto_depresion-NS/NR.,a0821i-9
pos_parto_inf_dormir_bebe-Si.,a0821j-1
pos_parto_inf_dormir_bebe-No.,a0821j-2
pos_parto_inf_dormir_bebe-NS/NR.,a0821j-9
pos_parto_anticonceptivo-Antes de salir del hospital.,a0822-1
pos_parto_anticonceptivo-Durante el primer mes después de haber salido del hospital.,a0822-2
pos_parto_anticonceptivo-Después del primer mes.,a0822-3
pos_parto_anticonceptivo-No recuerda en qué momento.,a0822-8
pos_parto_anticonceptivo-NS/NR.,a0822-9
pos_parto_cual_anticonceptivo-Condón o preservativo masculino.,a0823-1
pos_parto_cual_anticonceptivo-Condón femenino.,a0823-2
pos_parto_cual_anticonceptivo-Pastillas o píldoras.,a0823-3
pos_parto_cual_anticonceptivo-Inyecciones.,a0823-4
pos_parto_cual_anticonceptivo-Parche anticonceptivo.,a0823-5
"pos_parto_cual_anticonceptivo-Dispositivo, DIU o aparato.",a0823-6
"pos_parto_cual_anticonceptivo-Implantes, tubos o norplant.",a0823-7
"pos_parto_cual_anticonceptivo-Óvulos, jaleas, espuma o diafragma.",a0823-8
"pos_parto_cual_anticonceptivo-Operación femenina, OTB o ligadura de trompas.",a0823-9
pos_parto_cual_anticonceptivo-Operación masculina o vasectomía.,a0823-10
pos_parto_cual_anticonceptivo-Otro (especifique).,a0823-77
pos_parto_cual_anticonceptivo-No recuerda.,a0823-88
pos_parto_cual_anticonceptivo-NS/NR.,a0823-99
"prueba_vih-Sí, en los últimos 12 meses.",a0824-1
"prueba_vih-Sí, hace más de un año.",a0824-2
prueba_vih-No recuerda.,a0824-8
prueba_vih-No responde.,a0824-9
recibio_resultado_vih-Sí.,a0825-1
recibio_resultado_vih-No.,a0825-2
recibio_resultado_vih-NS/NR.,a0825-9
ult_anio_acido_folico-Sí.,a0826-1
ult_anio_acido_folico-No.,a0826-2
ult_anio_acido_folico-NS/NR,a0826-9
puede_mostrar_cart_vacunacion-Sí mostró la Cartilla Nacional de Salud(Hombres o Mujeres de,a0901-1
puede_mostrar_cart_vacunacion-Tiene documento probatorio o comprobante.,a0901-2
"puede_mostrar_cart_vacunacion-Sí la tiene, pero no la mostró.",a0901-3
puede_mostrar_cart_vacunacion-No tiene cartilla.,a0901-4
"puede_mostrar_cart_vacunacion-Sí mostró la cartilla, pero no tiene información.",a0901-5
pq_no_tiene_cartilla-No se la han dado.,a0902-1
pq_no_tiene_cartilla-La extravió.,a0902-2
pq_no_tiene_cartilla-No le han dado la reposición.,a0902-3
pq_no_tiene_cartilla-No la tiene disponible en este momento.,a0902-4
pq_no_tiene_cartilla-Vivienda afectada por sismo u otro desastre Natural.,a0902-5
pq_no_tiene_cartilla-Otra.,a0902-6
pq_no_tiene_cartilla-No  sabe.,a0902-9
pq_no_tiene_infor_cartilla-No se ha vacunado.,a0903-1
"pq_no_tiene_infor_cartilla-Se vacunó, tiene documento probatorio o comprobante, pero no",a0903-2
pq_no_tiene_infor_cartilla-No sabe / No responde.,a0903-3
vaucnado_sarampion_rub-SÍ.,a0904-1
vaucnado_sarampion_rub-NO.,a0904-2
vaucnado_sarampion_rub-No sabe / No recuerda.,a0904-9
vacuna_vs_tetano_10anios-SÍ.,a0906-1
vacuna_vs_tetano_10anios-NO.,a0906-2
vacuna_vs_tetano_10anios-No sabe / No recuerda.,a0906-9
vacuna_vs_influenza-SÍ.,a0908-1
vacuna_vs_influenza-NO.,a0908-2
vacuna_vs_influenza-No sabe / No recuerda.,a0908-9
sr_primera_dosis-Sí.,a09091a-1
sr_primera_dosis-NO.,a09091a-2
sr_primera_dosis_institucion-Seguro Social (IMSS).,a09091c-1
sr_primera_dosis_institucion-ISSSTE.,a09091c-2
sr_primera_dosis_institucion-ISSSTE Estatal.,a09091c-3
sr_primera_dosis_institucion-Pemex.,a09091c-4
sr_primera_dosis_institucion-Defensa.,a09091c-5
sr_primera_dosis_institucion-Marina.,a09091c-6
sr_primera_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09091c-7
sr_primera_dosis_institucion-IMSS Bienestar (antes Prospera).,a09091c-8
sr_primera_dosis_institucion-Consultorios dependientes de farmacias.,a09091c-9
"sr_primera_dosis_institucion-Consultorio, clínica u hospital privado.",a09091c-10
sr_primera_dosis_institucion-Escuela.,a09091c-11
sr_primera_dosis_institucion-Otro lugar (especifica).,a09091c-12
sr_primera_dosis_institucion-No sabe / No recuerda.,a09091c-99
sr_segunda_dosis-Sí.,a09092a-1
sr_segunda_dosis-NO.,a09092a-2
sr_tercera_dosis-Sí.,a09093a-1
sr_tercera_dosis-NO.,a09093a-2
td_refuerzo-Sí.,a09101a-1
td_refuerzo-NO.,a09101a-2
td_refuerzo_institucion-Seguro Social (IMSS).,a09101c-1
td_refuerzo_institucion-ISSSTE.,a09101c-2
td_refuerzo_institucion-ISSSTE Estatal.,a09101c-3
td_refuerzo_institucion-Pemex.,a09101c-4
td_refuerzo_institucion-Defensa.,a09101c-5
td_refuerzo_institucion-Marina.,a09101c-6
td_refuerzo_institucion-Centro de Salud u Hospital de la SSA.,a09101c-7
td_refuerzo_institucion-IMSS Bienestar (antes Prospera).,a09101c-8
td_refuerzo_institucion-Consultorios dependientes de farmacias.,a09101c-9
"td_refuerzo_institucion-Consultorio, clínica u hospital privado.",a09101c-10
td_refuerzo_institucion-Escuela.,a09101c-11
td_refuerzo_institucion-Otro lugar (especifica).,a09101c-12
td_refuerzo_institucion-No sabe / No recuerda.,a09101c-99
td_primera_dosis-Sí.,a09102a-1
td_primera_dosis-NO.,a09102a-2
td_primera_dosis_institucion-Seguro Social (IMSS).,a09102c-1
td_primera_dosis_institucion-ISSSTE.,a09102c-2
td_primera_dosis_institucion-ISSSTE Estatal.,a09102c-3
td_primera_dosis_institucion-Pemex.,a09102c-4
td_primera_dosis_institucion-Defensa.,a09102c-5
td_primera_dosis_institucion-Marina.,a09102c-6
td_primera_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09102c-7
td_primera_dosis_institucion-IMSS Bienestar (antes Prospera).,a09102c-8
td_primera_dosis_institucion-Consultorios dependientes de farmacias.,a09102c-9
"td_primera_dosis_institucion-Consultorio, clínica u hospital privado.",a09102c-10
td_primera_dosis_institucion-Escuela.,a09102c-11
td_primera_dosis_institucion-Otro lugar (especifica).,a09102c-12
td_primera_dosis_institucion-No sabe / No recuerda.,a09102c-99
td_segunda_dosis-Sí.,a09103a-1
td_segunda_dosis-NO.,a09103a-2
td_segunda_dosis_aplicacion-Seguro Social (IMSS).,a09103c-1
td_segunda_dosis_aplicacion-ISSSTE.,a09103c-2
td_segunda_dosis_aplicacion-ISSSTE Estatal.,a09103c-3
td_segunda_dosis_aplicacion-Pemex.,a09103c-4
td_segunda_dosis_aplicacion-Defensa.,a09103c-5
td_segunda_dosis_aplicacion-Marina.,a09103c-6
td_segunda_dosis_aplicacion-Centro de Salud u Hospital de la SSA.,a09103c-7
td_segunda_dosis_aplicacion-IMSS Bienestar (antes Prospera).,a09103c-8
td_segunda_dosis_aplicacion-Consultorios dependientes de farmacias.,a09103c-9
"td_segunda_dosis_aplicacion-Consultorio, clínica u hospital privado.",a09103c-10
td_segunda_dosis_aplicacion-Escuela.,a09103c-11
td_segunda_dosis_aplicacion-Otro lugar (especifica).,a09103c-12
td_segunda_dosis_aplicacion-No sabe / No recuerda.,a09103c-99
td_tercera_dosis-Sí.,a09104a-1
td_tercera_dosis-NO.,a09104a-2
td_tercera_dosis_institucion-Seguro Social (IMSS).,a09104c-1
td_tercera_dosis_institucion-ISSSTE.,a09104c-2
td_tercera_dosis_institucion-ISSSTE Estatal.,a09104c-3
td_tercera_dosis_institucion-Pemex.,a09104c-4
td_tercera_dosis_institucion-Defensa.,a09104c-5
td_tercera_dosis_institucion-Marina.,a09104c-6
td_tercera_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09104c-7
td_tercera_dosis_institucion-IMSS Bienestar (antes Prospera).,a09104c-8
td_tercera_dosis_institucion-Consultorios dependientes de farmacias.,a09104c-9
"td_tercera_dosis_institucion-Consultorio, clínica u hospital privado.",a09104c-10
td_tercera_dosis_institucion-Escuela.,a09104c-11
td_tercera_dosis_institucion-Otro lugar (especifica).,a09104c-12
td_tercera_dosis_institucion-No sabe / No recuerda.,a09104c-99
tdpa_unica_dosis-Sí.,a09111a-1
tdpa_unica_dosis-NO.,a09111a-2
inf_estacional_dosis-Sí.,a09121a-1
inf_estacional_dosis-NO.,a09121a-2
inf_estacional_dosis_institucion-Seguro Social (IMSS).,a09121c-1
inf_estacional_dosis_institucion-ISSSTE.,a09121c-2
inf_estacional_dosis_institucion-ISSSTE Estatal.,a09121c-3
inf_estacional_dosis_institucion-Pemex.,a09121c-4
inf_estacional_dosis_institucion-Defensa.,a09121c-5
inf_estacional_dosis_institucion-Marina.,a09121c-6
inf_estacional_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09121c-7
inf_estacional_dosis_institucion-IMSS Bienestar (antes Prospera).,a09121c-8
inf_estacional_dosis_institucion-Consultorios dependientes de farmacias.,a09121c-9
"inf_estacional_dosis_institucion-Consultorio, clínica u hospital privado.",a09121c-10
inf_estacional_dosis_institucion-Escuela.,a09121c-11
inf_estacional_dosis_institucion-Otro lugar (especifica).,a09121c-12
inf_estacional_dosis_institucion-No sabe / No recuerda.,a09121c-99
inf_estacional_dosis_embarazada-Sí.,a09122a-1
inf_estacional_dosis_embarazada-NO.,a09122a-2
otras_vacunas-Sí,o_vac1-1
otras_vacunas-No,o_vac1-2
mostrar_cartilla_vacunacion-Sí mostró la Cartilla Nacional de Salud (Adultos mayores de,a0914-1
mostrar_cartilla_vacunacion-Sí mostró documento probatorio o comprobante.,a0914-2
"mostrar_cartilla_vacunacion-Sí la tiene, pero no la mostró.",a0914-3
mostrar_cartilla_vacunacion-No tiene cartilla.,a0914-4
"mostrar_cartilla_vacunacion-Sí mostró la Cartilla, pero no tiene información.",a0914-5
motivo_no_mostrar_cartilla-No se la han dado.,a0915-1
motivo_no_mostrar_cartilla-La extravió.,a0915-2
motivo_no_mostrar_cartilla-No le han dado la reposición.,a0915-3
motivo_no_mostrar_cartilla-No la tiene disponible en este momento.,a0915-4
motivo_no_mostrar_cartilla-Vivienda afectada por sismo u otro desastre natural.,a0915-5
motivo_no_mostrar_cartilla-Otra.,a0915-6
motivo_no_mostrar_cartilla-No sabe.,a0915-9
vacunado_neumococo-SÍ.,a0917-1
vacunado_neumococo-NO.,a0917-2
vacunado_neumococo-No sabe / No recuerda.,a0917-9
vacunado_tet-SÍ.,a0919-1
vacunado_tet-NO.,a0919-2
vacunado_tet-No sabe / No recuerda.,a0919-9
vacunado_influenza-SÍ.,a0921-1
vacunado_influenza-NO.,a0921-2
vacunado_influenza-No sabe / No recuerda.,a0921-9
neumo_unica_dosis-Sí.,a09221a-1
neumo_unica_dosis-NO.,a09221a-2
neumo_unica_dosis_institucion-Seguro Social (IMSS).,a09221c-1
neumo_unica_dosis_institucion-ISSSTE.,a09221c-2
neumo_unica_dosis_institucion-ISSSTE Estatal.,a09221c-3
neumo_unica_dosis_institucion-Pemex.,a09221c-4
neumo_unica_dosis_institucion-Defensa.,a09221c-5
neumo_unica_dosis_institucion-Marina.,a09221c-6
neumo_unica_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09221c-7
neumo_unica_dosis_institucion-IMSS Bienestar (antes Prospera).,a09221c-8
neumo_unica_dosis_institucion-Consultorios dependientes de farmacias.,a09221c-9
"neumo_unica_dosis_institucion-Consultorio, clínica u hospital privado.",a09221c-10
neumo_unica_dosis_institucion-Escuela.,a09221c-11
neumo_unica_dosis_institucion-Otro lugar (especifica).,a09221c-12
neumo_unica_dosis_institucion-No sabe / No recuerda.,a09221c-99
neumo_unica_dosis_administrada-Sí.,a09222a-1
neumo_unica_dosis_administrada-NO.,a09222a-2
neumo_revacuna_dosis_administrada-Sí.,a09223a-1
neumo_revacuna_dosis_administrada-NO.,a09223a-2
td_refuerzo_dosis-Sí.,a09231a-1
td_refuerzo_dosis-NO.,a09231a-2
td_refuerzo_dosis_institucion-Seguro Social (IMSS).,a09231c-1
td_refuerzo_dosis_institucion-ISSSTE.,a09231c-2
td_refuerzo_dosis_institucion-ISSSTE Estatal.,a09231c-3
td_refuerzo_dosis_institucion-Pemex.,a09231c-4
td_refuerzo_dosis_institucion-Defensa.,a09231c-5
td_refuerzo_dosis_institucion-Marina.,a09231c-6
td_refuerzo_dosis_institucion-Centro de Salud u Hospital de la SSA.,a09231c-7
td_refuerzo_dosis_institucion-IMSS Bienestar (antes Prospera).,a09231c-8
td_refuerzo_dosis_institucion-Consultorios dependientes de farmacias.,a09231c-9
"td_refuerzo_dosis_institucion-Consultorio, clínica u hospital privado.",a09231c-10
td_refuerzo_dosis_institucion-Escuela.,a09231c-11
td_refuerzo_dosis_institucion-Otro lugar (especifica).,a09231c-12
td_refuerzo_dosis_institucion-No sabe / No recuerda.,a09231c-99
td_primera_dosis_2-Sí.,a09232a-1
td_primera_dosis_2-NO.,a09232a-2
td_primera_dosis_2_institucion-Seguro Social (IMSS).,a09232c-1
td_primera_dosis_2_institucion-ISSSTE.,a09232c-2
td_primera_dosis_2_institucion-ISSSTE Estatal.,a09232c-3
td_primera_dosis_2_institucion-Pemex.,a09232c-4
td_primera_dosis_2_institucion-Defensa.,a09232c-5
td_primera_dosis_2_institucion-Marina.,a09232c-6
td_primera_dosis_2_institucion-Centro de Salud u Hospital de la SSA.,a09232c-7
td_primera_dosis_2_institucion-IMSS Bienestar (antes Prospera).,a09232c-8
td_primera_dosis_2_institucion-Consultorios dependientes de farmacias.,a09232c-9
"td_primera_dosis_2_institucion-Consultorio, clínica u hospital privado.",a09232c-10
td_primera_dosis_2_institucion-Escuela.,a09232c-11
td_primera_dosis_2_institucion-Otro lugar (especifica).,a09232c-12
td_primera_dosis_2_institucion-No sabe / No recuerda.,a09232c-99
td_segunda_dosis_2-Sí.,a09233a-1
td_segunda_dosis_2-NO.,a09233a-2
td_tercera_dosis_2-Sí.,a09234a-1
td_tercera_dosis_2-NO.,a09234a-2
inf_estacional_unica_dosis-Sí.,a09241a-1
inf_estacional_unica_dosis-NO.,a09241a-2
inf_estacional_unica_dosis_aplicacion-Seguro Social (IMSS).,a09241c-1
inf_estacional_unica_dosis_aplicacion-ISSSTE.,a09241c-2
inf_estacional_unica_dosis_aplicacion-ISSSTE Estatal.,a09241c-3
inf_estacional_unica_dosis_aplicacion-Pemex.,a09241c-4
inf_estacional_unica_dosis_aplicacion-Defensa.,a09241c-5
inf_estacional_unica_dosis_aplicacion-Marina.,a09241c-6
inf_estacional_unica_dosis_aplicacion-Centro de Salud u Hospital de la SSA.,a09241c-7
inf_estacional_unica_dosis_aplicacion-IMSS Bienestar (antes Prospera).,a09241c-8
inf_estacional_unica_dosis_aplicacion-Consultorios dependientes de farmacias.,a09241c-9
"inf_estacional_unica_dosis_aplicacion-Consultorio, clínica u hospital privado.",a09241c-10
inf_estacional_unica_dosis_aplicacion-Escuela.,a09241c-11
inf_estacional_unica_dosis_aplicacion-Otro lugar (especifica).,a09241c-12
inf_estacional_unica_dosis_aplicacion-No sabe / No recuerda.,a09241c-99
otras_vacunas_2-Sí,o_vac11-1
otras_vacunas_2-No,o_vac11-2
prueba_papanicolaou-Sí,a1001a-1
prueba_papanicolaou-No,a1001a-2
prueba_pap_institucion-IMSS Prospera,a1002a-1
prueba_pap_institucion-IMSS,a1002a-2
prueba_pap_institucion-Secretaria de Salud,a1002a-3
prueba_pap_institucion-Seguro Popular (SSA),a1002a-4
"prueba_pap_institucion-DIF, Cruz Roja, INI",a1002a-5
"prueba_pap_institucion-ISSSTE, ISSSTE Estatal",a1002a-6
"prueba_pap_institucion-Marina, Defensa, Pemex",a1002a-7
"prueba_pap_institucion-Consultorio, clinica u hospital privado",a1002a-8
prueba_pap_institucion-Hospital Civil,a1002a-9
prueba_pap_institucion-Instituciones nacionales,a1002a-10
prueba_pap_institucion-Consultorios dependientes de farmacias,a1002a-11
prueba_pap_institucion-Otra institución,a1002a-12
prueba_pap_institucion-Nos sabe,a1002a-99
prueba_pap_algun_sintoma-Sí,a1003a-1
prueba_pap_algun_sintoma-No,a1003a-2
prueba_pap_resultado-Sí,a1004a-1
prueba_pap_resultado-No,a1004a-2
prueba_pap_diagnostico-Positivo,a1005a-1
prueba_pap_diagnostico-Bien o Negativo,a1005a-2
prueba_pap_diagnostico-No responde,a1005a-8
prueba_pap_diagnostico-No sabe,a1005a-9
prueba_vph-Sí,a1001b-1
prueba_vph-No,a1001b-2
prueba_vph_institucion-IMSS Prospera,a1002b-1
prueba_vph_institucion-IMSS,a1002b-2
prueba_vph_institucion-Secretaria de Salud,a1002b-3
prueba_vph_institucion-Seguro Popular (SSA),a1002b-4
